院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
1296,中国石油大学（北京）克拉玛依校区,80,85,533,97,116,14
1300,中国石油大学（华东）,252,255,582,104,127,14
1305,天津大学,146,151,638,120,130,12
1310,同济大学,117,117,659,122,131,9
1315,武汉理工大学,361,368,607,106,121,0
1315,武汉理工大学（较高收费）,20,21,592,116,121,0
1320,西安电子科技大学,230,237,618,121,123,5
1320,西安电子科技大学（较高收费）,30,30,594,123,107,9
1325,西南交通大学,169,169,606,107,123,0
1325,西南交通大学（较高收费）,17,17,582,116,110,11
1330,中国海洋大学,80,84,610,126,122,24
1330,中国海洋大学（较高收费）,8,9,573,117,118,8
1335,中国地质大学（北京）,77,79,597,107,126,0
1340,中国地质大学（武汉）,195,215,593,106,117,29
1340,中国地质大学（武汉）（较高收费）,3,4,569,108,111,12
1345,中国矿业大学（北京）,115,118,588,123,112,0
1350,中国矿业大学,334,334,585,107,122,26
1350,中国矿业大学（较高收费）,18,18,573,106,115,12
1355,重庆大学,131,131,626,120,121,11
1355,重庆大学（较高收费）,2,2,608,108,137,9
1360,华中农业大学,271,285,580,109,131,5
1360,华中农业大学（较高收费）,8,8,559,110,114,11
1365,南京农业大学,221,224,579,96,114,14
1370,西北农林科技大学,379,387,580,112,134,29
1370,西北农林科技大学（较高收费）,5,6,573,113,102,17
1375,中国农业大学,106,108,618,108,120,0
1375,中国农业大学（较高收费）,9,9,590,124,122,11
1380,北京林业大学,98,98,598,111,119,12
1380,北京林业大学（较高收费）,4,4,572,114,118,27
1385,东北林业大学,313,317,566,111,102,14
1385,东北林业大学（较高收费）,10,10,533,114,110,14
1390,北京中医药大学,73,76,585,106,111,12
1395,中国药科大学,90,94,596,118,126,15
1405,东北师范大学,115,115,580,111,106,23
1405,东北师范大学（较高收费）,23,23,546,96,111,17
1410,华东师范大学,89,98,633,119,121,11
1415,华中师范大学,98,98,605,109,120,14
1415,华中师范大学（其他单列）,24,24,569,106,112,30
1420,陕西师范大学,67,69,587,125,121,9
1425,西南大学,73,75,600,103,133,9
